"","P.locat","NP","GP...r","BFj","BUj","palsites.real.lon","palsites.real.lat"
"1","outer",5.59525569314427,5.43739360986835,0.0091069682105336,0.000392059624653169,162.95673,5.26699
"2","outer",8.80665180724055,8.64926205639772,0.0099713602682769,0,162.90755,5.27876
"3","outer",10.9242589996569,10.7570761573253,0,0.000178268779435373,162.98051,5.26525
"4","outer",10.989179797387,10.8355198252826,0.000408401703576347,0.0132927373030781,163.0027,5.37348
"5","outer",16.6067481184419,16.4428513108983,0.0013751977750623,0.00208910579241461,162.99699,5.37506
"6","outer",4.10552513894256,3.94009135365138,0.00133234148903265,0.000594984330896221,162.8967,5.29927
"7","outer",3.87787566280667,3.85638456062302,0.144842796871476,0.00102721205598142,162.93533,5.32677
"8","outer",6.77543853567024,6.63622466096959,0.0235212036555137,0.00462603275494467,163.03798,5.31259
"9","outer",7.8836847600146,7.75500879657346,0.0143307957694922,0.0243543519004817,163.03645,5.32721
"10","outer",4.38105202053762,4.24606097579448,0.0323700663679689,0,162.94688,5.35649
"11","outer",4.19554640692257,4.03854398277277,0.00881231369313095,0.00154637326818209,163.03059,5.28791
"12","outer",0.703831960477426,0.822620882093727,0.283783088496219,0.00236694423119181,163.02065,5.27187
"13","outer",8.44634653988578,8.30550836731934,0.0248306837056065,0.00169225483906451,162.98283,5.3718
"14","outer",8.81534642869608,8.66195697882837,0.00685114314682786,0.00712051809657881,163.03365,5.33899
"15","outer",11.5288119667555,11.3691658028503,0.00771494720593203,0,162.98364,5.26278
"16","outer",11.1158261418085,10.9672729222923,0.013180585515839,0.00562730607899823,162.97695,5.36937
"17","outer",4.20461864196198,4.04598754991987,0.00846301345376784,0.000267005615232096,162.90034,5.31134
"18","outer",9.51715344718999,9.50265399981314,0.152861663734265,0,162.98454,5.37275
"19","inner",4.25021447820693,4.08790107999669,0.00504771290086597,0,163.02315,5.32558
"20","inner",3.70022066392479,3.5436285060897,0.0107689532760226,0,162.95325,5.34423
"21","inner",8.5675087585986,8.41105073473931,0.0104612651610307,0.000441822090796116,162.939,5.32762
"22","inner",8.88377387736521,8.7279314910441,0.0115187247900005,0,162.95012,5.3458
"23","inner",9.58212137790613,10.2178619258352,0.00310165904020686,0,162.96646,5.27639
"24","inner",6.89479547139917,6.73830675722805,0.0108723969399883,0,162.95404,5.34976
