"","P.locat","NP","GP...r","BFj","BUj","palsites.real.lon","palsites.real.lat"
"1","outer",8.26131707877447,7.9207722001023,0.0125054477543641,0.00319967357346785,158.3447,6.9183
"2","outer",11.2910434344972,11.0054862597597,0.0705887229443894,0.000104102318047026,158.14716,7.00141
"3","outer",4.29532686461369,3.94891821152476,0.00700230787639145,0.00283903903467706,158.1268,6.78354
"4","outer",1.27837914314289,0.930921642531165,0.00879249938827576,0,158.34975,6.84233
"5","outer",18.4477369242501,18.5467278823839,0.454453054050825,0.000787904083040995,158.1203,6.97962
"6","outer",1.33896919234877,1.10611553436698,0.120706693853531,0.00268964816467439,158.3322,6.82785
"7","outer",11.1090657160899,10.7568001452694,0.00372463540577123,0.000259793773714931,158.3286,6.98805
"8","outer",8.05797921179844,7.71155358392576,0.00803324014347138,0.00179113198384621,158.2287,6.77087
"9","inner",7.33582825818632,6.97997491538876,0.000396657202442715,0,158.10828,6.92698
"10","patch",2.39213823263861,2.04803511216567,0.0112164845179652,0.000930395009092083,158.15967,6.97603
"11","inner",1.13534621953735,0.794099539315597,0.0150033197782478,0,158.16106,6.80809
"12","inner",10.0194428702251,9.66319287022508,0,0,158.13321,6.85949
"13","inner",11.6206673026233,11.297629467692,0.0332121650687449,0,158.28163,6.95431
"14","inner",5.37679033453273,5.03030165235923,0.00976131782650275,0,158.33957,6.84803
"15","patch",9.80545906631433,9.46685581951901,0.017646753204682,0,158.10551,6.89394
"16","patch",14.1810389914336,13.8339591879628,0.00917019652915515,0,158.12775,6.97252
"17","patch",5.98327466204829,5.62933718063661,0.00231251858831778,0,158.08464,6.93955
"18","patch",10.4384007338922,10.0975141659206,0.0153634320283024,0,158.15275,6.81805
"19","patch",9.11028331336211,8.77017765192909,0.0161443385669888,0,158.23927,7.01269
"20","patch",11.4290921126063,11.077880319843,0.00503820723661674,0,158.31691,6.98906
"21","patch",11.1946094290978,10.8417910814408,0.00343165234299957,0,158.24417,6.97583
"22","patch",12.2758121388425,11.9329296105394,0.0133674716969759,0,158.1331,6.97768
"23","patch",5.67698064677452,5.35416974706705,0.0332608315130856,0.000178268779435373,158.3539,6.864
"24","patch",11.6339964868569,11.2805182196711,0.00277173281415683,0,158.32994,6.93343
