"","P.locat","NP","GP...r","BFj","BUj","palsites.x","palsites.y","COT"
"1","outer",8.1515416389397,7.8873153915067,0.0125046345490832,0.00319967357346785,158.345450780855,6.91897249244172,0
"2","outer",10.6795551921252,11.0194658515964,0.0705887229443894,0.000104102318047026,158.152799144797,7.00452304524479,0.549148389764301
"3","outer",4.21139884823536,3.94130964621672,0.00700231450223345,0.00283903903467706,158.126106448235,6.78366913588082,0
"4","outer",1.25269886482139,0.981558003681717,0.00878969441588073,0,158.349512712941,6.84312980378651,0
"5","outer",18.1929376854723,18.5558069684999,0.454453054050825,0.000787904083040995,158.119143136089,6.97903990185664,0.187558880449293
"6","outer",1.33841094193418,1.18187672839683,0.120706693853531,0.00268964816467439,158.325141120427,6.81521969436139,0
"7","outer",11.0392917261909,10.7633455998148,0.00372463540577123,0.000259793773714931,158.329783328525,6.98814102449527,0
"8","outer",8.0609391791187,7.79083299569046,0.00803324014347138,0.00179113198384621,158.227654750374,6.76910733965902,0
"9","inner",7.25950881374187,6.97997491538876,0.000396657202442715,0,158.108117891856,6.92686013206186,0
"10","inner",2.16233465494064,2.04803511216567,0.0112164845179652,0.000930395009092083,158.158021628907,6.97054552072726,0.153484133253527
"11","inner",1.0590267750929,0.794099539315597,0.0150033197782478,0,158.167306045103,6.80793879625049,0
"12","inner",9.94312342578063,9.66319287022508,0,0,158.131328932345,6.861938790573,0
"13","inner",11.5443478581789,11.297629467692,0.0332121650687449,0,158.280459867486,6.95598372450546,0
"14","inner",5.41249038869553,5.14232115096647,0.00976131782650275,0,158.33616636466,6.84798373586044,0
"15","patch",9.72942877849639,9.46714497614551,0.017646753204682,0,158.103475683759,6.89652305659978,0
"16","patch",14.1068934600326,13.8361331010062,0.00917019652915515,0,158.119143136089,6.97236574525499,0
"17","patch",5.90695521760385,5.62933718063661,0.00231251858831778,0,158.087808231429,6.93171406413579,0
"18","patch",10.3631137084004,10.0985465848732,0.0153634320283024,0,158.144675280626,6.81400621134291,0
"19","patch",9.03458589915524,8.77079968216668,0.0161443385669888,0,158.238679994606,7.01180394335569,0
"20","patch",11.3527726681619,11.077880319843,0.00503820723661674,0,158.317597532268,6.98632079996754,0
"21","patch",11.1196775649531,10.8431786617405,0.00343165234299957,0,158.235778614545,6.97782641883816,0
"22","patch",12.2109852948209,11.9444222109623,0.0133674716969759,0,158.130748656333,6.97782641883816,0
"23","patch",5.63045303906477,5.38396158380174,0.0332608315130856,0.000178268779435373,158.353574645026,6.861938790573,0
"24","patch",11.5599667950627,11.2828079723213,0.00277173281415683,0,158.33094388055,6.93050058111731,0
